Element Count, Merge Sort - Random
10, 4291
11, 3833
12, 4208
13, 4445
14, 4816
15, 6270
16, 5283
17, 6541
18, 6825
19, 7208
20, 7679
21, 8720
22, 8524
23, 8958
24, 9245
25, 9687
26, 10179
27, 10537
28, 10750
29, 11187
30, 11583
31, 11820
32, 12108
33, 13962
34, 14216
35, 14337
36, 14766
37, 15445
38, 16979
39, 16708
40, 17025
41, 17508
42, 17912
43, 18304
44, 18754
45, 19370
46, 19646
47, 19937
48, 20404
49, 21066
50, 21341
51, 21679
52, 22250
53, 22533
54, 22916
55, 23233
56, 23620
57, 24016
58, 24550
59, 24666
60, 25058
61, 25550
62, 25808
63, 26150
64, 26533
65, 28041
66, 31012
67, 29275
68, 30145
69, 30475
70, 31445
71, 32758
72, 32312
73, 32920
74, 33596
75, 34249
76, 34604
77, 35141
78, 35641
79, 36316
80, 36600
81, 37237
82, 37883
83, 38225
84, 39008
85, 38987
86, 39687
87, 41962
88, 40691
89, 42770
90, 42349
91, 42433
92, 42891
93, 42816
94, 43504
95, 43654
96, 44095
97, 44670
98, 45029
99, 45679
100, 46420
101, 47854
102, 46716
103, 48937
104, 47816
105, 48395
106, 48437
107, 49179
108, 49503
109, 49795
110, 50212
111, 50675
112, 51099
113, 51641
114, 52308
115, 52070
116, 52720
117, 53016
118, 53329
119, 54437
120, 55546
121, 55075
122, 55316
123, 55962
124, 55804
125, 56245
126, 56483
127, 56979
128, 57508
129, 59170
130, 59483
131, 60470
132, 61274
133, 61950
134, 64308
135, 63625
136, 64483
137, 65075
138, 65616
139, 66324
140, 66904
141, 67716
142, 68400
143, 68912
144, 69091
145, 71937
146, 72349
147, 71908
148, 71812
149, 72362
150, 73324
151, 73679
152, 74254
153, 74671
154, 75704
155, 75999
156, 76858
157, 79758
158, 78229
159, 78299
160, 78529
161, 79521
162, 79525
163, 80029
164, 80350
165, 83216
166, 82020
167, 83645
168, 82670
169, 82916
170, 83966
171, 84145
172, 84904
173, 85049
174, 85570
175, 86341
176, 87066
177, 90295
178, 87500
179, 88533
180, 88633
181, 89262
182, 89741
183, 90220
184, 91187
185, 91991
186, 93024
187, 93195
188, 93324
189, 93404
190, 92779
191, 93837
192, 94720
193, 94891
194, 96945
195, 98391
196, 97137
197, 97254
198, 97629
199, 98800
200, 98700
201, 99216
202, 100233
203, 100483
204, 103270
205, 101229
206, 101458
207, 102070
208, 102058
209, 102941
210, 103675
211, 104691
212, 107341
213, 104854
214, 105241
215, 105712
216, 106483
217, 108741
218, 109312
219, 108541
220, 111541
221, 109725
222, 110845
223, 110550
224, 111162
225, 111112
226, 111716
227, 112421
228, 114387
229, 111425
230, 111470
231, 111804
232, 112700
233, 113199
234, 113691
235, 113929
236, 115625
237, 114821
238, 115404
239, 115358
240, 115670
241, 116087
242, 116599
243, 121625
244, 117674
245, 118708
246, 121033
247, 120112
248, 119075
249, 119495
250, 124779
251, 120012
252, 120441
253, 120770
254, 122195
255, 122958
256, 122050
257, 125491
258, 124645
259, 126050
260, 126954
261, 129108
262, 129891
263, 130045
264, 135566
265, 140020
266, 139758
267, 139650
268, 134950
269, 135079
270, 136770
271, 137274
272, 137937
273, 138924
274, 139020
275, 139375
276, 140375
277, 143450
278, 141300
279, 142087
280, 143591
281, 145649
282, 146912
283, 145179
284, 145600
285, 145749
286, 146579
287, 147325
288, 150991
289, 148596
290, 149812
291, 149604
292, 150629
293, 150816
294, 153920
295, 152233
296, 154354
297, 153612
298, 155720
299, 155579
300, 159258
301, 156741
302, 156616
303, 161662
304, 157554
305, 160420
306, 160854
307, 161304
308, 281020
309, 176129
310, 167420
311, 172808
312, 163295
313, 164466
314, 164391
315, 166062
316, 166833
317, 167149
318, 170887
319, 167633
320, 169254
321, 173700
322, 170121
323, 169083
324, 169658
325, 170262
326, 173349
327, 217420
328, 171687
329, 176633
330, 174691
331, 173900
332, 174112
333, 173937
334, 174670
335, 179870
336, 181020
337, 176208
338, 177262
339, 179558
340, 180733
341, 179866
342, 179916
343, 187737
344, 183229
345, 183387
346, 182504
347, 184866
348, 186412
349, 184462
350, 186841
351, 190541
352, 187908
353, 189870
354, 187374
355, 186641
356, 186958
357, 188487
358, 190254
359, 210125
360, 193329
361, 191133
362, 191762
363, 190841
364, 193604
365, 192304
366, 201687
367, 192812
368, 196878
369, 194295
370, 194716
371, 193904
372, 193608
373, 197849
374, 205058
375, 195587
376, 195879
377, 198216
378, 196145
379, 196608
380, 197291
381, 212287
382, 202354
383, 200583
384, 201845
385, 202337
386, 201908
387, 204650
388, 205312
389, 204487
390, 203799
391, 203458
392, 204978
393, 204529
394, 208000
395, 209804
396, 210770
397, 207095
398, 207324
399, 210570
400, 208104
401, 211199
402, 213162
403, 215862
404, 210458
405, 213616
406, 222991
407, 219845
408, 224416
409, 218179
410, 213150
411, 219958
412, 216216
413, 215495
414, 214441
415, 223137
416, 219908
417, 216183
418, 216783
419, 218666
420, 217762
421, 228878
422, 218879
423, 225008
424, 219266
425, 219695
426, 221624
427, 222991
428, 230395
429, 227587
430, 235533
431, 233820
432, 225391
433, 224404
434, 229483
435, 228103
436, 230379
437, 226054
438, 226537
439, 229475
440, 232250
441, 228483
442, 232350
443, 231412
444, 229479
445, 229908
446, 236812
447, 232125
448, 233458
449, 234187
450, 232958
451, 233879
452, 238029
453, 233145
454, 236071
455, 237595
456, 233950
457, 234370
458, 243566
459, 235225
460, 236712
461, 240033
462, 241746
463, 238154
464, 247499
465, 242520
466, 238879
467, 243416
468, 243825
469, 249079
470, 241954
471, 241958
472, 243654
473, 246458
474, 244658
475, 242629
476, 258491
477, 246549
478, 243608
479, 245495
480, 245437
481, 253804
482, 248312
483, 250629
484, 246762
485, 263537
486, 248708
487, 261512
488, 248820
489, 252045
490, 252145
491, 257612
492, 250541
493, 259741
494, 253100
495, 251620
496, 251141
497, 256483
498, 260512
499, 255491
500, 259095
501, 255637
502, 255820
503, 267033
504, 270529
505, 265854
506, 267791
507, 263275
508, 260874
509, 270133
510, 259604
511, 261508
512, 259491
513, 264708
514, 278062
515, 266595
516, 266604
517, 267362
518, 265550
519, 267312
520, 277020
521, 273916
522, 271887
523, 276787
524, 275433
525, 286279
526, 277112
527, 277462
528, 280616
529, 277083
530, 287437
531, 297895
532, 280454
533, 284545
534, 282312
535, 292862
536, 283154
537, 286641
538, 286750
539, 292250
540, 292791
541, 287316
542, 292441
543, 300600
544, 299433
545, 306975
546, 302325
547, 314429
548, 305945
549, 299804
550, 299762
551, 295941
552, 296829
553, 303108
554, 305800
555, 301654
556, 300733
557, 300833
558, 301270
559, 303908
560, 307116
561, 304812
562, 302966
563, 307508
564, 313049
565, 308921
566, 306004
567, 306825
568, 316745
569, 308366
570, 312112
571, 309183
572, 312633
573, 319937
574, 310245
575, 314004
576, 311887
577, 322866
578, 314879
579, 319025
580, 316029
581, 320937
582, 328650
583, 322858
584, 322500
585, 318304
586, 325716
587, 321833
588, 324050
589, 325895
590, 324712
591, 333445
592, 326779
593, 326470
594, 328825
595, 327795
596, 328404
597, 330425
598, 330929
599, 330695
600, 339574
601, 332629
602, 334512
603, 332837
604, 342921
605, 335520
606, 333708
607, 341170
608, 340933
609, 338137
610, 336775
611, 342275
612, 343662
613, 339633
614, 336737
615, 337829
616, 341479
617, 344299
618, 341458
619, 342366
620, 356545
621, 340458
622, 346487
623, 345125
624, 360787
625, 350420
626, 348258
627, 348250
628, 350383
629, 353020
630, 350729
631, 351887
632, 352162
633, 360375
634, 354133
635, 356899
636, 355545
637, 357641
638, 351170
639, 361104
640, 351745
641, 365633
642, 353954
643, 356229
644, 357870
645, 366408
646, 356475
647, 356487
648, 356804
649, 369691
650, 357937
651, 359450
652, 359204
653, 373350
654, 397416
655, 365091
656, 361687
657, 361116
658, 363191
659, 365025
660, 367504
661, 366587
662, 363683
663, 368246
664, 367199
665, 372050
666, 367770
667, 370358
668, 368745
669, 369829
670, 369604
671, 376691
672, 369150
673, 373946
674, 374183
675, 372816
676, 379312
677, 375924
678, 376320
679, 376445
680, 381512
681, 373500
682, 380162
683, 378708
684, 383316
685, 378062
686, 381966
687, 380875
688, 380395
689, 377787
690, 388650
691, 380187
692, 383045
693, 387441
694, 381875
695, 384350
696, 382395
697, 385729
698, 384004
699, 390687
700, 385399
701, 390975
702, 388191
703, 385387
704, 390699
705, 389108
706, 398112
707, 388074
708, 396416
709, 391862
710, 394695
711, 391858
712, 391116
713, 393041
714, 398137
715, 395200
716, 393383
717, 402129
718, 395870
719, 397987
720, 397695
721, 396516
722, 399645
723, 397420
724, 399095
725, 398158
726, 401345
727, 401320
728, 400708
729, 402966
730, 404170
731, 405604
732, 404200
733, 407679
734, 402558
735, 405945
736, 408000
737, 405037
738, 416750
739, 407487
740, 414679
741, 406675
742, 415433
743, 409087
744, 407979
745, 409133
746, 413016
747, 419037
748, 408862
749, 418179
750, 415579
751, 416741
752, 416837
753, 415875
754, 418283
755, 421470
756, 415099
757, 422033
758, 415200
759, 418433
760, 423379
761, 425741
762, 419233
763, 418445
764, 427104
765, 419012
766, 431349
767, 427008
768, 423087
769, 433895
770, 426758
771, 427866
772, 428462
773, 422629
774, 439545
775, 435595
776, 427075
777, 430008
778, 426187
779, 430208
780, 426037
781, 428058
782, 429404
783, 434816
784, 432487
785, 435220
786, 429787
787, 438404
788, 433595
789, 433800
790, 432675
791, 436500
792, 431595
793, 437083
794, 434250
795, 435966
796, 435095
797, 437029
798, 436712
799, 435575
800, 439654
801, 440724
802, 438366
803, 439100
804, 443370
805, 441241
806, 443595
807, 440933
808, 443829
809, 441929
810, 444633
811, 442779
812, 457695
813, 450691
814, 446916
815, 452804
816, 454733
817, 447145
818, 453162
819, 450599
820, 451312
821, 454329
822, 451058
823, 456587
824, 464854
825, 449870
826, 456033
827, 450625
828, 453058
829, 454529
830, 462775
831, 457808
832, 459000
833, 453712
834, 469045
835, 455612
836, 465371
837, 463841
838, 457949
839, 456837
840, 468687
841, 461791
842, 461021
843, 462900
844, 465470
845, 468187
846, 459941
847, 463645
848, 466516
849, 468183
850, 462296
851, 470108
852, 465608
853, 468145
854, 471783
855, 470779
856, 466129
857, 474195
858, 469287
859, 471329
860, 471074
861, 472762
862, 467750
863, 475691
864, 482754
865, 474467
866, 474804
867, 482562
868, 478645
869, 487212
870, 479695
871, 477087
872, 479516
873, 477195
874, 479658
875, 477408
876, 481191
877, 479041
878, 482291
879, 482454
880, 483141
881, 481095
882, 485637
883, 485562
884, 483170
885, 482841
886, 481558
887, 482191
888, 485996
889, 487904
890, 484270
891, 489029
892, 486429
893, 484746
894, 501095
895, 488962
896, 485970
897, 491795
898, 492895
899, 487962
900, 491891
901, 493929
902, 498449
903, 487925
904, 498429
905, 493891
906, 493896
907, 499237
908, 497112
909, 493904
910, 498404
911, 499695
912, 496950
913, 496291
914, 501925
915, 501720
916, 496866
917, 499391
918, 504029
919, 495787
920, 506742
921, 504329
922, 503566
923, 498104
924, 499708
925, 500812
926, 501504
927, 502091
928, 500862
929, 503650
930, 503220
931, 505479
932, 511262
933, 504916
934, 510729
935, 510762
936, 510237
937, 512704
938, 514083
939, 512966
940, 519958
941, 515766
942, 508216
943, 509999
944, 508091
945, 511133
946, 510433
947, 512225
948, 512679
949, 515216
950, 511437
951, 510633
952, 516429
953, 512229
954, 515241
955, 514891
956, 517774
957, 517629
958, 519695
959, 524308
960, 528054
961, 520487
962, 527358
963, 518854
964, 521887
965, 522537
966, 522520
967, 519279
968, 525095
969, 520687
970, 523700
971, 532154
972, 530604
973, 535120
974, 526987
975, 525920
976, 528158
977, 527700
978, 526354
979, 523383
980, 525570
981, 528141
982, 526312
983, 530749
984, 528933
985, 531025
986, 531691
987, 533137
988, 530816
989, 535487
990, 534508
991, 534295
992, 532824
993, 541924
994, 539320
995, 540441
996, 535662
997, 535733
998, 541695
999, 536775
