Element Count, Quick Sort - Random
10, 262
11, 304
12, 279
13, 295
14, 291
15, 325
16, 466
17, 345
18, 479
19, 375
20, 550
21, 533
22, 762
23, 562
24, 529
25, 637
26, 791
27, 708
28, 633
29, 704
30, 745
31, 958
32, 879
33, 916
34, 1212
35, 1170
36, 1029
37, 1120
38, 1104
39, 891
40, 1479
41, 1183
42, 1133
43, 1341
44, 1620
45, 1491
46, 1487
47, 1512
48, 1737
49, 1520
50, 2058
51, 1550
52, 1650
53, 1666
54, 1683
55, 1629
56, 1850
57, 2058
58, 1866
59, 1875
60, 2175
61, 1879
62, 2137
63, 2050
64, 2404
65, 2887
66, 2316
67, 2129
68, 2662
69, 2429
70, 2933
71, 2541
72, 2570
73, 2737
74, 3062
75, 2716
76, 3154
77, 2683
78, 3300
79, 3091
80, 3262
81, 4021
82, 3312
83, 3012
84, 3408
85, 3241
86, 3183
87, 4016
88, 3258
89, 4083
90, 3141
91, 3729
92, 3245
93, 3487
94, 3979
95, 4137
96, 4175
97, 3783
98, 3712
99, 4262
100, 4374
101, 4125
102, 4050
103, 4166
104, 4216
105, 4512
106, 3896
107, 4333
108, 4183
109, 4258
110, 4158
111, 4049
112, 4754
113, 4812
114, 4578
115, 4762
116, 5050
117, 5379
118, 5529
119, 4908
120, 5516
121, 5383
122, 4816
123, 4670
124, 5437
125, 5266
126, 5408
127, 4683
128, 5087
129, 5241
130, 5337
131, 6216
132, 5441
133, 5974
134, 5587
135, 5729
136, 6441
137, 7212
138, 5816
139, 6616
140, 5783
141, 6679
142, 5920
143, 6420
144, 6383
145, 6279
146, 6354
147, 6216
148, 6837
149, 6920
150, 6183
151, 7150
152, 6604
153, 6870
154, 7104
155, 7291
156, 7670
157, 7066
158, 7241
159, 7387
160, 8029
161, 6687
162, 7624
163, 8141
164, 7816
165, 7349
166, 7112
167, 8033
168, 8358
169, 8754
170, 7741
171, 7800
172, 8595
173, 7662
174, 8491
175, 8075
176, 8829
177, 8674
178, 8254
179, 8783
180, 8095
181, 8829
182, 8900
183, 8516
184, 8745
185, 9174
186, 8791
187, 9758
188, 10079
189, 8716
190, 9054
191, 9358
192, 8929
193, 9258
194, 9708
195, 10012
196, 8970
197, 9154
198, 11054
199, 9349
200, 10095
201, 10150
202, 9987
203, 9904
204, 10999
205, 10629
206, 10220
207, 9954
208, 11254
209, 11737
210, 10316
211, 10241
212, 10570
213, 11441
214, 12237
215, 10862
216, 11766
217, 11329
218, 11879
219, 11120
220, 11020
221, 11129
222, 11621
223, 11037
224, 11933
225, 11058
226, 10733
227, 11541
228, 12537
229, 11733
230, 12212
231, 13441
232, 11750
233, 11733
234, 13512
235, 12045
236, 13074
237, 12995
238, 12220
239, 12566
240, 12537
241, 11791
242, 11578
243, 14075
244, 13316
245, 12020
246, 13399
247, 12991
248, 12683
249, 13679
250, 13166
251, 12916
252, 13562
253, 13441
254, 13883
255, 12837
256, 14120
257, 13312
258, 13404
259, 13824
260, 13308
261, 13529
262, 13558
263, 14129
264, 13550
265, 14366
266, 14699
267, 14129
268, 13821
269, 14891
270, 14658
271, 13683
272, 16075
273, 14604
274, 14233
275, 15504
276, 15374
277, 14212
278, 15483
279, 15462
280, 16025
281, 15645
282, 14570
283, 16716
284, 16587
285, 15554
286, 15841
287, 14962
288, 15670
289, 17158
290, 17175
291, 16479
292, 17208
293, 16079
294, 16841
295, 15833
296, 17312
297, 16625
298, 17391
299, 16387
300, 16775
301, 16866
302, 18179
303, 17303
304, 17295
305, 17129
306, 17737
307, 16995
308, 17187
309, 18258
310, 18212
311, 17445
312, 17379
313, 18425
314, 17441
315, 18179
316, 17491
317, 17883
318, 19100
319, 17341
320, 19958
321, 19745
322, 18083
323, 18429
324, 17724
325, 18958
326, 21149
327, 18950
328, 17971
329, 20329
330, 17824
331, 18812
332, 19833
333, 18562
334, 18520
335, 19604
336, 20300
337, 19545
338, 19024
339, 19154
340, 21629
341, 19812
342, 20479
343, 19775
344, 19720
345, 19912
346, 19212
347, 19662
348, 20275
349, 21058
350, 21054
351, 21133
352, 20095
353, 20441
354, 19466
355, 20058
356, 23625
357, 20408
358, 21633
359, 21295
360, 21183
361, 20558
362, 21025
363, 21716
364, 23321
365, 21125
366, 21733
367, 20141
368, 21479
369, 20970
370, 24262
371, 23250
372, 22649
373, 22295
374, 21999
375, 21125
376, 22550
377, 20637
378, 23612
379, 23487
380, 21887
381, 21400
382, 24112
383, 21758
384, 25650
385, 23741
386, 22308
387, 24129
388, 21458
389, 24908
390, 22716
391, 23487
392, 24158
393, 23408
394, 23533
395, 24433
396, 23904
397, 24837
398, 21895
399, 24350
400, 25662
401, 25196
402, 23125
403, 23691
404, 24741
405, 25529
406, 26687
407, 24400
408, 26229
409, 25291
410, 26983
411, 23383
412, 24879
413, 26479
414, 25483
415, 25887
416, 25341
417, 25575
418, 28133
419, 26570
420, 26516
421, 25908
422, 26245
423, 26850
424, 26054
425, 24920
426, 28575
427, 27666
428, 28183
429, 27029
430, 26870
431, 27908
432, 27808
433, 26483
434, 26762
435, 27012
436, 25487
437, 26258
438, 27400
439, 27458
440, 27508
441, 28824
442, 27716
443, 27112
444, 28679
445, 27512
446, 29445
447, 27954
448, 27237
449, 29374
450, 26704
451, 27645
452, 28516
453, 28324
454, 29621
455, 27695
456, 27887
457, 28695
458, 28316
459, 30300
460, 27770
461, 30125
462, 28771
463, 31270
464, 27875
465, 29208
466, 29054
467, 27991
468, 29504
469, 29816
470, 33716
471, 29237
472, 32970
473, 29866
474, 29191
475, 30741
476, 31208
477, 31483
478, 30108
479, 30575
480, 31099
481, 31529
482, 31329
483, 31421
484, 30887
485, 31320
486, 33929
487, 31491
488, 31950
489, 29200
490, 31958
491, 34591
492, 31591
493, 32654
494, 30762
495, 34204
496, 32708
497, 30562
498, 31108
499, 30937
500, 31999
501, 32729
502, 32712
503, 32904
504, 33103
505, 31700
506, 33683
507, 31558
508, 32133
509, 33974
510, 32204
511, 36983
512, 33258
513, 32041
514, 33733
515, 31354
516, 33225
517, 35599
518, 33820
519, 34696
520, 33433
521, 34479
522, 33345
523, 33954
524, 34850
525, 34166
526, 33133
527, 34716
528, 35091
529, 35404
530, 33554
531, 34883
532, 34541
533, 35845
534, 33370
535, 37033
536, 36233
537, 34562
538, 36562
539, 35916
540, 36812
541, 35791
542, 34979
543, 37879
544, 37287
545, 40108
546, 37391
547, 37041
548, 37750
549, 38220
550, 35804
551, 37403
552, 36862
553, 36649
554, 39446
555, 38195
556, 36303
557, 42954
558, 35316
559, 37495
560, 37162
561, 35833
562, 36942
563, 36008
564, 36675
565, 37266
566, 36329
567, 37725
568, 39250
569, 39100
570, 38783
571, 37037
572, 37729
573, 36404
574, 41262
575, 41158
576, 40512
577, 40241
578, 37287
579, 37812
580, 38058
581, 39296
582, 39862
583, 39141
584, 38437
585, 37649
586, 38958
587, 38854
588, 42687
589, 41491
590, 42600
591, 38558
592, 40375
593, 42650
594, 42454
595, 39100
596, 41404
597, 39395
598, 40112
599, 40262
600, 39804
601, 40983
602, 42941
603, 39196
604, 41591
605, 40725
606, 41945
607, 42687
608, 40016
609, 42612
610, 42337
611, 40416
612, 43625
613, 41608
614, 42975
615, 41654
616, 41566
617, 42258
618, 40925
619, 42845
620, 42899
621, 42562
622, 43837
623, 42954
624, 44550
625, 47520
626, 44645
627, 42770
628, 44304
629, 41791
630, 44187
631, 46887
632, 42145
633, 43033
634, 43487
635, 44487
636, 44824
637, 42754
638, 44566
639, 43191
640, 43449
641, 43220
642, 44850
643, 42937
644, 43599
645, 45854
646, 45791
647, 45654
648, 43254
649, 47600
650, 47054
651, 45800
652, 44479
653, 46666
654, 44774
655, 50045
656, 46100
657, 43479
658, 48579
659, 45374
660, 44279
661, 46945
662, 46812
663, 46150
664, 46320
665, 44504
666, 45896
667, 50045
668, 45604
669, 44783
670, 47387
671, 45350
672, 45045
673, 45433
674, 48758
675, 46195
676, 45112
677, 47500
678, 50533
679, 47437
680, 51579
681, 51475
682, 48050
683, 50045
684, 45512
685, 47129
686, 48962
687, 48533
688, 49796
689, 48783
690, 47591
691, 46491
692, 48117
693, 46170
694, 46770
695, 47299
696, 51687
697, 48479
698, 49479
699, 48495
700, 50479
701, 47695
702, 49716
703, 48650
704, 48870
705, 47229
706, 50108
707, 49650
708, 50616
709, 48766
710, 47479
711, 50975
712, 49100
713, 50024
714, 52262
715, 49716
716, 51662
717, 49141
718, 48233
719, 51525
720, 50191
721, 54108
722, 52179
723, 51375
724, 51629
725, 51908
726, 49295
727, 51804
728, 51012
729, 50066
730, 54650
731, 52725
732, 53479
733, 55004
734, 53533
735, 51958
736, 53229
737, 53629
738, 53891
739, 52887
740, 53550
741, 52025
742, 51879
743, 52341
744, 52033
745, 51449
746, 54283
747, 54083
748, 52545
749, 54971
750, 51783
751, 57028
752, 53120
753, 54204
754, 53787
755, 54183
756, 55091
757, 54962
758, 56937
759, 56204
760, 57279
761, 55641
762, 56212
763, 54862
764, 53404
765, 55600
766, 58087
767, 54312
768, 54004
769, 54204
770, 55324
771, 55296
772, 55695
773, 55346
774, 53975
775, 54416
776, 54620
777, 58337
778, 55158
779, 56691
780, 55487
781, 56333
782, 60362
783, 56033
784, 60120
785, 58575
786, 56879
787, 54050
788, 56358
789, 55141
790, 58029
791, 55641
792, 57141
793, 58320
794, 58283
795, 56608
796, 56566
797, 57845
798, 56283
799, 55487
800, 60854
801, 63070
802, 59045
803, 61546
804, 58641
805, 59833
806, 55954
807, 58295
808, 57595
809, 57620
810, 61575
811, 58391
812, 61245
813, 57212
814, 60279
815, 57654
816, 59033
817, 61266
818, 65408
819, 60925
820, 58424
821, 56741
822, 59533
823, 60412
824, 61554
825, 59220
826, 59108
827, 63737
828, 60087
829, 59600
830, 57883
831, 63008
832, 61333
833, 78816
834, 81179
835, 62308
836, 60658
837, 62550
838, 61283
839, 61099
840, 70087
841, 60466
842, 64624
843, 87866
844, 64954
845, 63799
846, 66770
847, 60233
848, 61366
849, 64233
850, 62641
851, 62762
852, 61875
853, 65058
854, 73516
855, 63720
856, 64049
857, 64846
858, 65158
859, 64875
860, 61800
861, 61300
862, 63933
863, 65187
864, 62395
865, 61212
866, 64620
867, 61370
868, 66479
869, 62270
870, 63570
871, 69520
872, 65012
873, 65021
874, 67454
875, 65691
876, 63349
877, 67145
878, 64271
879, 64983
880, 66424
881, 65028
882, 63520
883, 64224
884, 64591
885, 66737
886, 66995
887, 66779
888, 63924
889, 64383
890, 64825
891, 68162
892, 67166
893, 67004
894, 66596
895, 69662
896, 67054
897, 70570
898, 66695
899, 68637
900, 69625
901, 69633
902, 67112
903, 63891
904, 67104
905, 75054
906, 67020
907, 65116
908, 66174
909, 65854
910, 69846
911, 70970
912, 65121
913, 68954
914, 66141
915, 68379
916, 72841
917, 72720
918, 72458
919, 67629
920, 68558
921, 70475
922, 69103
923, 67758
924, 66662
925, 68629
926, 71008
927, 69608
928, 66524
929, 76241
930, 67912
931, 67808
932, 65954
933, 69891
934, 71979
935, 70508
936, 71241
937, 74612
938, 74566
939, 72316
940, 77741
941, 71399
942, 70087
943, 68708
944, 67137
945, 72033
946, 69446
947, 69362
948, 69120
949, 73129
950, 70737
951, 72679
952, 71987
953, 73012
954, 71229
955, 74708
956, 74054
957, 69950
958, 73354
959, 74087
960, 76462
961, 73579
962, 73700
963, 70670
964, 73433
965, 71808
966, 71504
967, 70825
968, 72933
969, 73883
970, 73858
971, 71041
972, 71287
973, 70283
974, 72129
975, 73708
976, 77224
977, 73554
978, 74149
979, 78500
980, 74158
981, 76008
982, 79070
983, 73862
984, 72754
985, 71912
986, 77262
987, 73887
988, 77654
989, 78966
990, 78829
991, 78124
992, 74604
993, 74395
994, 73762
995, 75000
996, 77096
997, 74329
998, 73921
999, 76987
